ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Xam-sortalclassifier,Xam,sortalclassifier,no,sortalclassifier-0,,Bleek-1928
Xam-morphosyntacticplural,Xam,morphosyntacticplural,no,morphosyntacticplural-0,,Bleek-1928
Abkhaz-sortalclassifier,Abkhaz,sortalclassifier,no,sortalclassifier-0,,Hewitt-1989d
Abkhaz-morphosyntacticplural,Abkhaz,morphosyntacticplural,no,morphosyntacticplural-0,,Hewitt-1989d
Abun-sortalclassifier,Abun,sortalclassifier,yes,sortalclassifier-1,,Berry-and-Berry-1999
Abun-morphosyntacticplural,Abun,morphosyntacticplural,yes,morphosyntacticplural-1,,Berry-and-Berry-1999
Acoma-sortalclassifier,Acoma,sortalclassifier,no,sortalclassifier-0,,Miller-1966
Acoma-morphosyntacticplural,Acoma,morphosyntacticplural,no,morphosyntacticplural-0,,Miller-1966
Ainu-sortalclassifier,Ainu,sortalclassifier,yes,sortalclassifier-1,,Refsing-1986
Ainu-morphosyntacticplural,Ainu,morphosyntacticplural,yes,morphosyntacticplural-1,,Refsing-1986
Alagwa-sortalclassifier,Alagwa,sortalclassifier,no,sortalclassifier-0,,mous_alagwa_2016
Alagwa-morphosyntacticplural,Alagwa,morphosyntacticplural,no,morphosyntacticplural-0,,mous_alagwa_2016
Alamblak-sortalclassifier,Alamblak,sortalclassifier,no,sortalclassifier-0,,Bruce-1984
Alamblak-morphosyntacticplural,Alamblak,morphosyntacticplural,no,morphosyntacticplural-0,,Bruce-1984
Albanian-sortalclassifier,Albanian,sortalclassifier,no,sortalclassifier-0,,Camaj-1984
Albanian-morphosyntacticplural,Albanian,morphosyntacticplural,no,morphosyntacticplural-0,,Camaj-1984
Alune-sortalclassifier,Alune,sortalclassifier,no,sortalclassifier-0,,Makaruku-et-al-1997
Alune-morphosyntacticplural,Alune,morphosyntacticplural,no,morphosyntacticplural-0,,Makaruku-et-al-1997
Amarakaeri-sortalclassifier,Amarakaeri,sortalclassifier,no,sortalclassifier-0,,Helberg-Chavez-1984
Amarakaeri-morphosyntacticplural,Amarakaeri,morphosyntacticplural,no,morphosyntacticplural-0,,Helberg-Chavez-1984
AmbaeLolovoliNortheast-sortalclassifier,AmbaeLolovoliNortheast,sortalclassifier,no,sortalclassifier-0,,Hyslop-2001
AmbaeLolovoliNortheast-morphosyntacticplural,AmbaeLolovoliNortheast,morphosyntacticplural,no,morphosyntacticplural-0,,Hyslop-2001
Ambulas-sortalclassifier,Ambulas,sortalclassifier,no,sortalclassifier-0,,Wilson-1980
Ambulas-morphosyntacticplural,Ambulas,morphosyntacticplural,no,morphosyntacticplural-0,,Wilson-1980
Amele-sortalclassifier,Amele,sortalclassifier,no,sortalclassifier-0,,Roberts-1987
Amele-morphosyntacticplural,Amele,morphosyntacticplural,no,morphosyntacticplural-0,,Roberts-1987
Amharic-sortalclassifier,Amharic,sortalclassifier,no,sortalclassifier-0,,Leslau-1997b
Amharic-morphosyntacticplural,Amharic,morphosyntacticplural,no,morphosyntacticplural-0,,Leslau-1997b
Amis-sortalclassifier,Amis,sortalclassifier,yes,sortalclassifier-1,,Wu-2006
Amis-morphosyntacticplural,Amis,morphosyntacticplural,yes,morphosyntacticplural-1,,Wu-2006
Apurina-sortalclassifier,Apurina,sortalclassifier,no,sortalclassifier-0,,pickering_apurina_2009
Apurina-morphosyntacticplural,Apurina,morphosyntacticplural,no,morphosyntacticplural-0,,pickering_apurina_2009
Arabela-sortalclassifier,Arabela,sortalclassifier,no,sortalclassifier-0,,Waterhouse-1963
Arabela-morphosyntacticplural,Arabela,morphosyntacticplural,no,morphosyntacticplural-0,,Waterhouse-1963
ArabicEgyptian-sortalclassifier,ArabicEgyptian,sortalclassifier,no,sortalclassifier-0,,Brustad-2000
ArabicEgyptian-morphosyntacticplural,ArabicEgyptian,morphosyntacticplural,no,morphosyntacticplural-0,,Brustad-2000
ArabicKormakiti-sortalclassifier,ArabicKormakiti,sortalclassifier,no,sortalclassifier-0,,Brustad-2000
ArabicKormakiti-morphosyntacticplural,ArabicKormakiti,morphosyntacticplural,no,morphosyntacticplural-0,,Brustad-2000
ArabicMoroccan-sortalclassifier,ArabicMoroccan,sortalclassifier,no,sortalclassifier-0,,Harrell-et-al-1965
ArabicMoroccan-morphosyntacticplural,ArabicMoroccan,morphosyntacticplural,no,morphosyntacticplural-0,,Harrell-et-al-1965
Arawak-sortalclassifier,Arawak,sortalclassifier,no,sortalclassifier-0,,Facundes-2000
Arawak-morphosyntacticplural,Arawak,morphosyntacticplural,no,morphosyntacticplural-0,,Facundes-2000
Arbore-sortalclassifier,Arbore,sortalclassifier,no,sortalclassifier-0,,Hayward-1984
Arbore-morphosyntacticplural,Arbore,morphosyntacticplural,no,morphosyntacticplural-0,,Hayward-1984
ArmenianEastern-sortalclassifier,ArmenianEastern,sortalclassifier,no,sortalclassifier-0,,Fairbanks-1958
ArmenianEastern-morphosyntacticplural,ArmenianEastern,morphosyntacticplural,no,morphosyntacticplural-0,,Fairbanks-1958
ArmenianIranian-sortalclassifier,ArmenianIranian,sortalclassifier,yes,sortalclassifier-1,,Greppin-2001
ArmenianIranian-morphosyntacticplural,ArmenianIranian,morphosyntacticplural,yes,morphosyntacticplural-1,,Greppin-2001
Arosi-sortalclassifier,Arosi,sortalclassifier,no,sortalclassifier-0,,Capell-1971
Arosi-morphosyntacticplural,Arosi,morphosyntacticplural,no,morphosyntacticplural-0,,Capell-1971
Assamese-sortalclassifier,Assamese,sortalclassifier,yes,sortalclassifier-1,,Goswami-1970
Assamese-morphosyntacticplural,Assamese,morphosyntacticplural,yes,morphosyntacticplural-1,,Goswami-1970
Atakapa-sortalclassifier,Atakapa,sortalclassifier,no,sortalclassifier-0,,Swanton-1929
