language_name;sortal_classifier;morphosyntactic_plural;continent;genus;longitude;latitude;iso_code;wals_code;glottocode;source
/Xam;no;yes;Africa;Southern_Khoisan;21;-31;xam;xam;xamm1241;Bleek-1928
Abkhaz;no;yes;Asia;Northwest_Caucasian;41;43.08333333;abk;abk;abkh1244;Hewitt-1989d
Abun;yes;no;Asia;North_Central_Birds_Head;132.5;-0.5;kgr;abu;abun1252;Berry-and-Berry-1999
Acoma;no;yes;Americas;Keresan;-107.5833333;34.91666667;kjq;aco;west2632;Miller-1966
Ainu;yes;no;Asia;Ainu;143;43;ain;ain;ainu1240;Refsing-1986
Alagwa;no;yes;Africa;Southern_Cushitic;35.75;-5.5;wbj;agw;alag1248;mous_alagwa_2016
Alamblak;no;no;Pacific;Sepik_Hill;143.3333333;-4.666666667;amp;ala;alam1246;Bruce-1984
Albanian;no;yes;Europe;Albanian;20;41;aln;alb;gheg1238;Camaj-1984
Alune;no;no;Asia;Central_Malayo_Polynesian;128.3333333;-3;alp;aln;alun1238;Makaruku-et-al-1997
Amarakaeri;no;no;Americas;Harakmbet;-70.5;-12.5;amr;amk;amar1274;Helberg-Chavez-1984
Ambae (Lolovoli Northeast);no;no;Pacific;Oceanic;167.8833333;-15.41666667;omb;aml;east2443;Hyslop-2001
Ambulas;no;no;Pacific;Middle_Sepik;143;-3.833333333;abt;amb;ambu1247;Wilson-1980
Amele;no;no;Pacific;Madang;145.5833333;-5.25;aey;ame;amel1241;Roberts-1987
Amharic;no;yes;Africa;Semitic;38;10;amh;amh;amha1245;Leslau-1997b
Amis;yes;no;Asia;East_Formosan;121.3333333;23.33333333;ami;ami;amis1246;Wu-2006
Apurina;no;no;Americas;Purus;-67;-9;apu;apu;apur1254;pickering_apurina_2009
Arabela;no;no;Americas;Zaparoan;-75.16666667;-2;arl;arb;arab1268;Waterhouse-1963
Arabic (Egyptian);no;yes;Africa;Semitic;31;30;arz;aeg;egyp1253;Brustad-2000
Arabic (Kormakiti);no;yes;Asia;Semitic;33.5;35.25;acy;ako;cypr1248;Brustad-2000
Arabic (Moroccan);no;yes;Africa;Semitic;-6;34;ary;amr;moro1292;Harrell-et-al-1965
Arawak;no;no;Americas;Northern_Arawakan;-55.16666667;5.5;arw;ara;araw1276;Facundes-2000
Arbore;no;yes;Africa;Eastern_Cushitic;36.75;5;arv;abo;arbo1245;Hayward-1984
Armenian (Eastern);no;yes;Asia;Armenian;45;40;hye;arm;nucl1235;Fairbanks-1958
Armenian (Iranian);yes;yes;Asia;Armenian;51.66666667;32.66666667;;arz;nucl1235;Greppin-2001
